STATION_NAME,TRANSECT,STATION_ID,SAMPLE_TIME,LATITUDE,LONGITUDE,SECCHI_DEPTH,ACOUSTIC_DEPTH,REPLICATE_DESC,TEMPERATURE,SALINITY,SAMPLE_DEPTH,CHL_A,TRICHODESMIUM
Hook Passage,Whitsundays,228,15/1/09 9:39,-20.21,148.905,,25,A1,29,38,25,0.61,Absent
Hook Passage,Whitsundays,228,15/1/09 9:39,-20.21,148.905,,25,A2,29,38,25,0.67,Absent
Hook Passage,Whitsundays,228,15/1/09 9:39,-20.21,148.905,,25,B1,29,38,25,0.64,Absent
Hook Passage,Whitsundays,228,15/1/09 9:39,-20.21,148.905,,25,B2,29,38,25,0.69,Absent
Line Reef,Whitsundays,229,15/1/09 9:39,-19.756,149.14,,64,A1,29.5,38,64,0.55,Absent
Line Reef,Whitsundays,229,15/1/09 9:39,-19.756,149.14,,64,A2,29.5,38,64,0.47,Absent
Line Reef,Whitsundays,229,15/1/09 9:39,-19.756,149.14,,64,B1,29.5,38,64,0.47,Absent
Line Reef,Whitsundays,229,15/1/09 9:39,-19.756,149.14,,64,B2,29.5,38,64,0.5,Absent
Dent Passage,Whitsundays,227,15/1/09 8:54,-20.336,148.939,,25,A1,29,38,25,0.49,Absent
Dent Passage,Whitsundays,227,15/1/09 8:54,-20.336,148.939,,25,A2,29,38,25,0.53,Absent
Dent Passage,Whitsundays,227,15/1/09 8:54,-20.336,148.939,,25,B1,29,38,25,0.51,Absent
Dent Passage,Whitsundays,227,15/1/09 8:54,-20.336,148.939,,25,B2,29,38,25,0.54,Absent
Shute Harbour Jetty,Coastal,207,15/1/09 7:40,-20.299,148.786,,,A1,28,35,,1.02,Absent
Shute Harbour Jetty,Coastal,207,15/1/09 7:40,-20.299,148.786,,,A2,28,35,,0.92,Absent
Mantis Reef,Far Northern,60,23/11/08 13:25,-12.208,143.934,,,A1,,35,,0.27,Absent
Mantis Reef,Far Northern,60,23/11/08 13:25,-12.208,143.934,,,A2,,35,,0.27,Absent
Mantis Reef,Far Northern,60,23/11/08 13:25,-12.208,143.934,,,B1,,35,,0.27,Absent
Mantis Reef,Far Northern,60,23/11/08 13:25,-12.208,143.934,,,B2,,35,,0.21,Absent
Line Reef,Whitsundays,229,19/11/08 10:30,-19.756,149.14,,64,A1,,37,64,0.21,Absent
Line Reef,Whitsundays,229,19/11/08 10:30,-19.756,149.14,,64,A2,,37,64,0.2,Absent
Line Reef,Whitsundays,229,19/11/08 10:30,-19.756,149.14,,64,B1,,37,64,0.21,Absent
Line Reef,Whitsundays,229,19/11/08 10:30,-19.756,149.14,,64,B2,,37,64,0.22,Absent
Hook Passage,Whitsundays,228,19/11/08 9:34,-20.21,148.905,,25,A1,,37,25,0.25,Absent
Hook Passage,Whitsundays,228,19/11/08 9:34,-20.21,148.905,,25,A2,,37,25,0.23,Absent
Hook Passage,Whitsundays,228,19/11/08 9:34,-20.21,148.905,,25,B1,,37,25,0.27,Absent
Hook Passage,Whitsundays,228,19/11/08 9:34,-20.21,148.905,,25,B2,,37,25,0.27,Absent
Dent Passage,Whitsundays,227,19/11/08 8:46,-20.336,148.939,,25,A1,,37,25,0.23,Absent
Dent Passage,Whitsundays,227,19/11/08 8:46,-20.336,148.939,,25,A2,,37,25,0.26,Absent
Dent Passage,Whitsundays,227,19/11/08 8:46,-20.336,148.939,,25,B1,,37,25,0.26,Absent
Dent Passage,Whitsundays,227,19/11/08 8:46,-20.336,148.939,,25,B2,,37,25,0.24,Absent
Magnetic - Picnic Bay,Coastal,224,6/11/08 11:00,-19.18,146.84,,,A1,31,37,,0.54,Absent
Magnetic - Picnic Bay,Coastal,224,6/11/08 11:00,-19.18,146.84,,,A1,31,,,0.54,Absent
Magnetic - Picnic Bay,Coastal,224,6/11/08 11:00,-19.18,146.84,,,A2,31,37,,0.62,Absent
Magnetic - Picnic Bay,Coastal,224,6/11/08 11:00,-19.18,146.84,,,A2,31,,,0.62,Absent
Log Reef,Far Northern,91,5/11/08 5:22,-12.4215,143.6991,,44,A1,26.7,35,44,0.23,Absent
Log Reef,Far Northern,91,5/11/08 5:22,-12.4215,143.6991,,44,A2,26.7,35,44,0.22,Absent
Log Reef,Far Northern,91,5/11/08 5:22,-12.4215,143.6991,,44,B1,26.7,35,44,0.22,Absent
Log Reef,Far Northern,91,5/11/08 5:22,-12.4215,143.6991,,44,B2,26.7,35,44,0.23,Absent
Mantis Reef,Far Northern,60,31/10/08 10:00,-12.208,143.934,,500,A1,,36,500,0.16,Absent
Mantis Reef,Far Northern,60,31/10/08 10:00,-12.208,143.934,,500,A2,,36,500,0.18,Absent
Mantis Reef,Far Northern,60,31/10/08 10:00,-12.208,143.934,,500,B1,,36,500,0.16,Absent
Mantis Reef,Far Northern,60,31/10/08 10:00,-12.208,143.934,,500,B2,,36,500,0.18,Absent
Rodda Reef,Far Northern,65,29/10/08 15:50,-13.9259,144.36172,,,A1,26.2,,,0.21,Absent
Rodda Reef,Far Northern,65,29/10/08 15:50,-13.9259,144.36172,,,A2,26.2,,,0.2,Absent
Rodda Reef,Far Northern,65,29/10/08 15:50,-13.9259,144.36172,,,B1,26.2,,,0.19,Absent
Rodda Reef,Far Northern,65,29/10/08 15:50,-13.9259,144.36172,,,B2,26.2,,,0.26,Absent
Mackay Marina Wall,Coastal,208,28/10/08 12:05,-21.105,149.215,,,A1,26.1,38,,0.56,Absent
Mackay Marina Wall,Coastal,208,28/10/08 12:05,-21.105,149.215,,,A2,26.1,38,,0.54,Absent
Line Reef,Whitsundays,229,28/10/08 10:30,-19.756,149.14,,25,A1,26,36,25,0.16,Absent
Line Reef,Whitsundays,229,28/10/08 10:30,-19.756,149.14,,25,A2,26,36,25,0.16,Absent
Line Reef,Whitsundays,229,28/10/08 10:30,-19.756,149.14,,25,B1,26,36,25,0.14,Absent
Line Reef,Whitsundays,229,28/10/08 10:30,-19.756,149.14,,25,B2,26,36,25,0.14,Absent
Hook Passage,Whitsundays,228,28/10/08 9:30,-20.21,148.905,,25,A1,25.5,36,25,0.23,Absent
Hook Passage,Whitsundays,228,28/10/08 9:30,-20.21,148.905,,25,A2,25.5,36,25,0.27,Absent
Hook Passage,Whitsundays,228,28/10/08 9:30,-20.21,148.905,,25,B1,25.5,36,25,0.28,Absent
Hook Passage,Whitsundays,228,28/10/08 9:30,-20.21,148.905,,25,B2,25.5,36,25,0.28,Absent
Dent Passage,Whitsundays,227,28/10/08 8:45,-20.336,148.939,,25,A1,25.5,36,25,0.33,Absent
Dent Passage,Whitsundays,227,28/10/08 8:45,-20.336,148.939,,25,A2,25.5,36,25,0.36,Absent
Dent Passage,Whitsundays,227,28/10/08 8:45,-20.336,148.939,,25,B1,25.5,36,25,0.3,Absent
Dent Passage,Whitsundays,227,28/10/08 8:45,-20.336,148.939,,25,B2,25.5,36,25,0.36,Absent
Near Port Douglas,Port Douglas,10,10/10/08 13:52,-16.48343,145.45775,,6.5,A1,27.4,34.5,6.5,0.39,Absent
Near Port Douglas,Port Douglas,10,10/10/08 13:52,-16.48343,145.45775,,6.5,A2,27.4,34.5,6.5,0.57,Absent
Near Port Douglas,Port Douglas,10,10/10/08 13:52,-16.48343,145.45775,,6.5,B1,27.4,34.5,6.5,0.63,Absent
Near Port Douglas,Port Douglas,10,10/10/08 13:52,-16.48343,145.45775,,6.5,B2,27.4,34.5,6.5,0.48,Absent
Low Isles1,Port Douglas,11,10/10/08 12:51,-16.36899,145.544,,17.7,A1,26.4,35,17.7,0.1,Absent
Low Isles1,Port Douglas,11,10/10/08 12:51,-16.36899,145.544,,17.7,A2,26.4,35,17.7,0.1,Absent
Low Isles1,Port Douglas,11,10/10/08 12:51,-16.36899,145.544,,17.7,B1,26.4,35,17.7,0.11,Absent
Low Isles1,Port Douglas,11,10/10/08 12:51,-16.36899,145.544,,17.7,B2,26.4,35,17.7,0.1,Absent
Rudder Reef,Port Douglas,82,10/10/08 10:45,-16.02917,145.67,,41,A1,26,35,41,0.15,Absent
Rudder Reef,Port Douglas,82,10/10/08 10:45,-16.02917,145.67,,41,A2,26,35,41,0.14,Absent
